gesture,image_path,predicted,confidence,correct,status,inference_ms
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13_aug_4_gaussian_noise_translation.jpg,,0.4830,0,low-confidence,40.362
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13_aug_5_perspective.jpg,Acc+Left,0.9999,1,ok,75.973
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14.jpg,Acc+Left,0.9999,1,ok,56.152
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14_aug_1_rotation_slight_zoom.jpg,Acc+Left,0.9999,1,ok,73.239
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14_aug_2_translation.jpg,Acc+Left,0.9999,1,ok,45.185
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14_aug_3_zoom.jpg,Acc+Left,0.9999,1,ok,44.444
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14_aug_4_translation_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,33.604
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_14_aug_5_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,33.707
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15.jpg,Acc+Left,0.9999,1,ok,32.605
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15_aug_1_translation_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,53.987
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15_aug_2_color_jitter_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,57.637
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15_aug_3_rotation.jpg,Acc+Left,0.9999,1,ok,64.816
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15_aug_4_rotation_shadow.jpg,Acc+Right,0.6207,0,ok,36.691
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_15_aug_5_rotation_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,79.390
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16.jpg,Acc+Left,0.9999,1,ok,56.749
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16_aug_1_zoom_color_jitter.jpg,,0.4972,0,low-confidence,37.700
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16_aug_2_rotation_shadow.jpg,,0.4651,0,low-confidence,27.187
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16_aug_3_shadow.jpg,Acc+Left,0.9999,1,ok,50.852
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16_aug_4_rotation.jpg,Acc+Left,0.9999,1,ok,66.083
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_16_aug_5_shadow_perspective.jpg,Acc+Left,0.9999,1,ok,56.372
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17.jpg,Accelerate,0.5133,0,ok,22.374
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17_aug_1_gaussian_blur.jpg,Accelerate,0.5089,0,ok,23.205
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17_aug_2_shadow.jpg,Accelerate,0.5056,0,ok,22.848
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17_aug_3_zoom.jpg,,0.4481,0,low-confidence,46.645
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17_aug_4_rotation_slight_gaussian_noise.jpg,,0.4454,0,low-confidence,58.138
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_17_aug_5_rotation_slight.jpg,Accelerate,0.5482,0,ok,45.303
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18.jpg,Acc+Left,0.9999,1,ok,80.649
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18_aug_1_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,66.718
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18_aug_2_perspective.jpg,Acc+Left,0.9998,1,ok,62.620
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18_aug_3_shadow.jpg,Acc+Left,0.9999,1,ok,71.506
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18_aug_4_rotation_shadow.jpg,Acc+Left,0.9998,1,ok,46.452
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_18_aug_5_zoom_color_jitter.jpg,Acc+Left,0.9999,1,ok,68.579
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19.jpg,Acc+Left,0.9999,1,ok,61.100
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19_aug_1_rotation_brightness_contrast.jpg,Acc+Left,0.9998,1,ok,72.390
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19_aug_2_color_jitter_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,48.597
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19_aug_3_zoom.jpg,Acc+Left,0.9998,1,ok,52.541
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19_aug_4_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,67.307
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_19_aug_5_rotation_slight.jpg,Acc+Left,0.9999,1,ok,62.108
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1_aug_1_perspective_brightness_contrast.jpg,Acc+Left,1.0000,1,ok,65.316
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1_aug_2_color_jitter_gaussian_blur.jpg,Acc+Left,1.0000,1,ok,32.019
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1_aug_3_perspective.jpg,Acc+Left,1.0000,1,ok,71.599
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1_aug_4_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,30.403
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1_aug_5_translation_gaussian_blur.jpg,Acc+Left,1.0000,1,ok,56.942
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_2.jpg,Acc+Left,1.0000,1,ok,80.062
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20.jpg,Acc+Left,0.9999,1,ok,46.683
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387.jpg,Acc+Left,0.9992,1,ok,58.939
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387_aug_1_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,30.147
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387_aug_2_gaussian_blur.jpg,Acc+Left,0.9993,1,ok,35.984
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387_aug_3_rotation_slight.jpg,Acc+Left,0.9992,1,ok,35.599
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387_aug_4_brightness_contrast.jpg,Acc+Left,0.9993,1,ok,40.096
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151555_812387_aug_5_rotation_slight_zoom.jpg,Stop+Left,0.6539,0,ok,23.704
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535.jpg,Acc+Left,0.9998,1,ok,68.462
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535_aug_1_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,31.635
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535_aug_2_translation.jpg,Acc+Left,0.9998,1,ok,46.549
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535_aug_3_zoom_color_jitter.jpg,Acc+Left,0.9999,1,ok,48.762
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535_aug_4_gaussian_blur.jpg,Acc+Left,0.9998,1,ok,63.271
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_051535_aug_5_gaussian_noise_translation.jpg,,,,no-landmarks,19.505
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340.jpg,Acc+Left,0.9999,1,ok,50.579
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340_aug_1_rotation_slight_zoom.jpg,Acc+Left,0.9998,1,ok,47.249
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340_aug_2_zoom_color_jitter.jpg,Acc+Left,0.9999,1,ok,49.351
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340_aug_3_perspective.jpg,Acc+Left,0.9998,1,ok,34.891
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340_aug_4_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,31.563
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_260340_aug_5_shadow_perspective.jpg,Acc+Left,0.9999,1,ok,62.685
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204.jpg,Acc+Left,0.9998,1,ok,43.778
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204_aug_1_translation_gaussian_blur.jpg,Acc+Left,0.9998,1,ok,44.771
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204_aug_2_rotation.jpg,Acc+Left,0.9998,1,ok,48.802
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204_aug_3_rotation_slight_zoom.jpg,Acc+Left,0.9994,1,ok,47.244
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204_aug_4_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,18.681
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_486204_aug_5_perspective_brightness_contrast.jpg,Acc+Left,0.9998,1,ok,45.834
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652.jpg,Acc+Left,0.9997,1,ok,48.092
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652_aug_1_gaussian_noise.jpg,,,,no-landmarks,15.068
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652_aug_2_rotation_slight.jpg,Acc+Left,0.9997,1,ok,41.348
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652_aug_3_rotation_slight_zoom.jpg,Acc+Left,0.9992,1,ok,70.222
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652_aug_4_zoom_color_jitter.jpg,Acc+Left,0.9994,1,ok,53.847
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_733652_aug_5_rotation.jpg,Acc+Left,0.9997,1,ok,68.764
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865.jpg,Acc+Left,0.9998,1,ok,81.982
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865_aug_1_rotation_brightness_contrast.jpg,Acc+Left,0.9997,1,ok,56.340
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865_aug_2_brightness_contrast.jpg,Acc+Left,0.9998,1,ok,32.490
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865_aug_3_color_jitter.jpg,Acc+Left,0.9998,1,ok,47.283
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865_aug_4_shadow.jpg,Acc+Left,0.9879,1,ok,63.012
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151556_979865_aug_5_rotation_slight.jpg,Acc+Left,0.9998,1,ok,69.331
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930.jpg,Acc+Left,0.9999,1,ok,36.549
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930_aug_1_rotation.jpg,Acc+Left,0.9998,1,ok,47.108
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930_aug_2_gaussian_noise_translation.jpg,,,,no-landmarks,23.629
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930_aug_3_translation.jpg,Acc+Left,0.9999,1,ok,58.806
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930_aug_4_perspective_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,32.277
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_177930_aug_5_color_jitter.jpg,Acc+Left,0.9999,1,ok,41.564
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907.jpg,Acc+Left,0.9999,1,ok,34.869
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907_aug_1_rotation_slight.jpg,Acc+Left,0.9998,1,ok,35.345
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907_aug_2_perspective_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,46.924
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907_aug_3_shadow.jpg,Acc+Left,0.9998,1,ok,35.077
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907_aug_4_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,37.144
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_390907_aug_5_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,29.483
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698.jpg,Acc+Left,0.9999,1,ok,73.228
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698_aug_1_translation_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,51.581
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698_aug_2_shadow.jpg,Acc+Left,0.9998,1,ok,34.578
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698_aug_3_perspective_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,32.050
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698_aug_4_zoom_color_jitter.jpg,Acc+Left,0.9999,1,ok,45.513
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_639698_aug_5_rotation.jpg,Acc+Left,0.9999,1,ok,61.619
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935.jpg,Acc+Left,0.9999,1,ok,32.994
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935_aug_1_rotation_slight_zoom.jpg,Acc+Left,0.9999,1,ok,54.514
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935_aug_2_translation_gaussian_blur.jpg,Acc+Left,0.9998,1,ok,66.963
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935_aug_3_zoom.jpg,Acc+Left,0.9998,1,ok,66.605
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935_aug_4_perspective.jpg,Acc+Left,0.9998,1,ok,63.846
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151557_851935_aug_5_rotation_slight_gaussian_noise.jpg,,,,no-landmarks,22.341
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653.jpg,Acc+Left,1.0000,1,ok,45.627
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653_aug_1_shadow.jpg,Acc+Left,1.0000,1,ok,39.694
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653_aug_2_zoom.jpg,Acc+Left,0.9999,1,ok,40.575
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653_aug_3_gaussian_noise.jpg,,,,no-landmarks,20.571
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653_aug_4_rotation_slight.jpg,Acc+Left,0.9999,1,ok,54.123
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_103653_aug_5_rotation_shadow.jpg,Acc+Left,0.9999,1,ok,46.088
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_307927.jpg,Acc+Left,1.0000,1,ok,40.004
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_307927_aug_1_color_jitter.jpg,Acc+Left,1.0000,1,ok,51.355
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_307927_aug_2_gaussian_noise_translation.jpg,,,,no-landmarks,21.312
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_307927_aug_3_rotation_slight.jpg,Acc+Left,0.9999,1,ok,41.088
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_20251117_151558_307927_aug_4_perspective.jpg,Acc+Left,0.9999,1,ok,37.945
